Catalogue,Composition,Condition,Date,Mint_Mark,Other_Details,Province_Mint,Soverign_Issuer,Weight,wreck,image_url,type
Dav. 5636,Silver,G/P Corroded,1624.0,,around 20% missing,Nuremberg - City Republic,Ferdinand II,16.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00486-001.jpg,Taler
Dav. 5636,Silver,F Corroded,1624.0,,,Nuremberg - City Republic,Ferdinand II,24.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00487-001.jpg,Taler
Dav. 5636,Silver,VG/P Corroded,1625.0,,,Nuremberg - City Republic,Ferdinand II,16.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00488-001.jpg,Taler
Dav. 5636,Silver,VG Corroded,1625.0,,,Nuremberg - City Republic,Ferdinand II,26.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00489-001.jpg,Taler
Dav. 5636,Silver,G Corroded,1627.0,,,Nuremberg - City Republic,Ferdinand II,22.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00490-001.jpg,Taler
Dav. 5637,Silver,F/P Corroded,1623.0,,,Nuremberg - City Republic,Ferdinand II,22.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00492-001.jpg,Taler
Dav. 5636,Silver,VG Corroded,1623.0,,,Nuremberg - City Republic,Ferdinand II,19.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00493-001.jpg,Taler
Dav. 5636,Silver,G Corroded,1625.0,,,Nuremberg - City Republic,Ferdinand II,22.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00494-001.jpg,Taler
Dav. 5636,Silver,P/G Corroded,1622.0,,,Nuremberg - City Republic,Ferdinand II,21.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00495-001.jpg,Taler
Dav. 5636,Silver,P Corroded,1622.0,,,Nuremberg - City Republic,Unknown,16.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00496-001.jpg,Taler
Dav. 9791,Silver,F,1554.0,,Piece,Sachsen,August,21.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00499-003.jpg,Taler
Dav. 9798,Silver,F Corroded,1578.0,HB,,Sachsen,August,21.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00500-0012.jpg,Taler
Dav. 7566,Silver,P Corroded,1606.0,,,Sachsen,Christian Johann Georg,20.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00504-001.jpg,Taler
Dav. 7426,Silver,P Corroded,1611.0,C-O,PieceSaxe-Alt-Gotha,Sachsen,Johann Casimir & Johann Ernst II,10.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00507-001.jpg,Taler
Dav. 7367,Silver,G/P Corroded,1623.0,,,Sachsen,Unknown,10.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00509-001.jpg,Taler
Dav. 9806,Silver,G Corroded,1590.0,,Saxony (Albertine line),Sachsen - Albertine line,Christian,22.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00511-001.jpg,Taler
Dav. 7601,Silver,P Corroded,1620.0,,,Sachsen,Johann Georg Duke of Saxony,22.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00515-001.jpg,Taler
Dav. 7601,Silver,P Corroded,1620.0,,Portrait with sword on shoulder similar to Nederlands Rix Dollars.,Sachsen,Johann Georg & August of Naumburg,15.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00516-001.jpg,Taler
Dav. 7771,Silver,Very Corroded,1613.0,,Some legend showing (both Obv. and Rev.). Some Obv. detail showing.,Stolberg,Heinrich XIII and Wolfgang George,19.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00519-001.jpg,Taler
